#date, number of female goats added, their age, number of male goats added, their age
2020-06-30,465,9,0,0
2020-09-30,465,9,0,0
2020-12-31,466,9,0,0
2021-03-31,451,9,0,0
2021-06-30,451,9,0,0
2021-09-30,451,9,0,0
2021-12-31,451,9,0,0
2022-03-31,553,9,0,0
2022-06-30,553,9,0,0
2022-09-30,553,9,0,0
2022-12-31,553,9,0,0
2023-03-31,616,9,0,0
2023-06-30,617,9,0,0
2023-09-30,617,9,0,0
2023-12-31,617,9,0,0
2024-03-31,556,9,0,0
2024-06-30,557,9,0,0
2024-09-30,556,9,0,0
2024-12-31,557,9,0,0
2025-03-31,163,9,0,0